relative_path,cls_name,specie_name,anomaly,mask_path,category,severity,selected_corruption
bottle/test/contamination/012.png,bottle,contamination,1,bottle/ground_truth/contamination/012_mask.png,noise,1,impulse_noise
bottle/test/broken_small/003.png,bottle,broken_small,1,bottle/ground_truth/broken_small/003_mask.png,noise,1,gaussian_noise
bottle/test/broken_small/012.png,bottle,broken_small,1,bottle/ground_truth/broken_small/012_mask.png,noise,1,shot_noise
bottle/test/broken_large/010.png,bottle,broken_large,1,bottle/ground_truth/broken_large/010_mask.png,noise,1,impulse_noise
bottle/test/contamination/017.png,bottle,contamination,1,bottle/ground_truth/contamination/017_mask.png,noise,1,gaussian_noise
bottle/test/contamination/000.png,bottle,contamination,1,bottle/ground_truth/contamination/000_mask.png,noise,1,impulse_noise
bottle/test/broken_large/002.png,bottle,broken_large,1,bottle/ground_truth/broken_large/002_mask.png,noise,1,gaussian_noise
bottle/test/contamination/008.png,bottle,contamination,1,bottle/ground_truth/contamination/008_mask.png,noise,1,shot_noise
bottle/test/contamination/003.png,bottle,contamination,1,bottle/ground_truth/contamination/003_mask.png,noise,1,gaussian_noise
bottle/test/contamination/015.png,bottle,contamination,1,bottle/ground_truth/contamination/015_mask.png,noise,1,impulse_noise
bottle/test/broken_small/005.png,bottle,broken_small,1,bottle/ground_truth/broken_small/005_mask.png,noise,1,impulse_noise
bottle/test/broken_small/019.png,bottle,broken_small,1,bottle/ground_truth/broken_small/019_mask.png,noise,1,shot_noise
bottle/test/contamination/016.png,bottle,contamination,1,bottle/ground_truth/contamination/016_mask.png,noise,1,impulse_noise
bottle/test/broken_large/000.png,bottle,broken_large,1,bottle/ground_truth/broken_large/000_mask.png,noise,1,impulse_noise
bottle/test/broken_large/016.png,bottle,broken_large,1,bottle/ground_truth/broken_large/016_mask.png,noise,1,gaussian_noise
bottle/test/broken_small/008.png,bottle,broken_small,1,bottle/ground_truth/broken_small/008_mask.png,noise,1,shot_noise
bottle/test/broken_small/018.png,bottle,broken_small,1,bottle/ground_truth/broken_small/018_mask.png,noise,1,impulse_noise
bottle/test/contamination/014.png,bottle,contamination,1,bottle/ground_truth/contamination/014_mask.png,noise,1,shot_noise
bottle/test/contamination/019.png,bottle,contamination,1,bottle/ground_truth/contamination/019_mask.png,noise,1,shot_noise
bottle/test/contamination/013.png,bottle,contamination,1,bottle/ground_truth/contamination/013_mask.png,noise,1,impulse_noise
bottle/test/broken_small/013.png,bottle,broken_small,1,bottle/ground_truth/broken_small/013_mask.png,noise,1,gaussian_noise
bottle/test/contamination/002.png,bottle,contamination,1,bottle/ground_truth/contamination/002_mask.png,noise,1,shot_noise
